10069,Attunga,766,978,,3309,5,41,,NSW,1027,5,41,893,1045,0%
10070,Auburn (NSW),33109,888,,860,2,11,,NSW,250,1,10,759,1067,0%
10071,Austinmer,2469,1106,,7714,10,94,,NSW,2322,10,91,1082,1138,0%
10072,Austral,3026,969,,2955,4,36,,NSW,927,4,37,936,986,0%
10073,Avalon (NSW),10614,1118,,7885,10,96,,NSW,2394,10,94,1032,1174,0%
10074,Avoca Beach,4317,1082,,7253,9,88,,NSW,2179,9,85,1005,1117,0%
10075,Awaba,359,956,,2521,4,31,,NSW,791,4,31,956,956,2%
10076,Aylmerton,248,1024,,5275,7,64,,NSW,1608,7,63,1024,1024,0%
10077,Baan Baa,523,1021,,5136,7,63,,NSW,1571,7,62,1021,1021,0%
10078,Backmede,274,963,,2757,4,34,,NSW,867,4,34,963,963,0%
10079,Badgerys Creek,454,913,,1342,2,17,,NSW,415,2,17,913,913,0%
10080,Balaclava (NSW),418,998,,4153,6,51,,NSW,1275,5,50,998,998,0%
10081,Balala,319,982,,3482,5,43,,NSW,1075,5,42,982,982,0%
10082,Balcolyn,826,980,,3382,5,41,,NSW,1045,5,41,947,1024,0%
10083,Bald Hills (NSW),291,1036,,5780,8,71,,NSW,1745,7,69,1036,1036,0%
10084,Balgowlah,7495,1109,,7762,10,95,,NSW,2337,10,92,1048,1159,0%
10085,Balgowlah Heights,3266,1172,,8233,10,100,,NSW,2556,10,100,1142,1190,0%
10086,Balgownie,5443,1031,,5585,7,68,,NSW,1686,7,66,917,1138,0%
10087,Balladoran,223,1020,,5092,7,62,,NSW,1562,7,61,1020,1020,0%
10088,Ballimore,189,1043,,6035,8,74,,NSW,1805,8,71,1043,1043,0%
10089,Ballina,7871,873,,677,1,9,,NSW,184,1,8,769,973,0%
10090,Balmain,9790,1108,,7743,10,94,,NSW,2332,10,91,896,1171,0%
10091,Balmain East,1856,1118,,7878,10,96,,NSW,2389,10,94,969,1155,0%
10092,Balmoral (Lake Macquarie - NSW),729,1009,,4591,6,56,,NSW,1410,6,55,1003,1013,0%
10093,Balmoral (Wingecarribee - NSW),362,1055,,6429,8,78,,NSW,1916,8,75,975,1067,0%
10094,Balranald,1621,932,,1825,3,23,,NSW,583,3,23,889,1029,0%
10095,Bandon Grove,279,991,,3834,5,47,,NSW,1180,5,47,991,991,0%
10096,Bangalee (NSW),803,1083,,7276,9,89,,NSW,2185,9,86,1053,1098,0%
10097,Bangalow,1905,1012,,4742,6,58,,NSW,1460,6,57,993,1050,0%
10098,Bangheet,324,1036,,5767,7,70,,NSW,1741,7,68,1036,1036,0%
10099,Bangor (NSW),5619,1117,,7867,10,96,,NSW,2384,10,93,1021,1167,0%
10100,Banksia,3230,998,,4137,6,51,,NSW,1269,5,50,975,1037,0%
10102,Bankstown,30546,891,,909,2,12,,NSW,273,2,11,788,1031,0%
10104,Bannaby,209,986,,3647,5,45,,NSW,1124,5,44,986,986,0%
10105,Bannister (NSW),331,1047,,6164,8,75,,NSW,1850,8,73,1047,1047,0%
10106,Banora Point,15051,961,,2688,4,33,,NSW,838,4,33,820,1062,0%
10107,Bar Beach,1126,1021,,5132,7,63,,NSW,1569,7,62,899,1130,0%
10108,Bar Point,360,984,,3559,5,44,,NSW,1094,5,43,984,984,0%
10109,Baradine,760,842,,423,1,6,,NSW,103,1,5,840,843,0%
10110,Barangaroo,109,688,,127,1,2,,NSW,10,1,1,688,688,0%
10112,Barden Ridge,4041,1138,,8083,10,98,,NSW,2475,10,97,1113,1162,0%
10113,Bardwell Park,2269,1068,,6874,9,84,,NSW,2064,9,81,1046,1081,0%
10114,Bardwell Valley,2210,1023,,5214,7,64,,NSW,1594,7,63,991,1088,0%
10115,Barellan,639,948,,2281,3,28,,NSW,721,3,29,867,1033,0%
10116,Bargo,4117,1007,,4527,6,55,,NSW,1387,6,55,917,1085,0%
10117,Barham,1559,943,,2121,3,26,,NSW,669,3,27,912,1019,0%
10118,Barkers Vale,358,887,,845,2,11,,NSW,244,1,10,887,887,0%
10119,Barmedman,411,921,,1529,2,19,,NSW,480,2,19,807,1045,0%
10120,Barnsley,1797,962,,2739,4,34,,NSW,860,4,34,934,1012,0%
10121,Barooga,1498,960,,2659,4,33,,NSW,827,4,33,910,994,0%
10122,Barraba,1539,876,,704,1,9,,NSW,193,1,8,826,982,0%
10123,Barrack Heights,6011,905,,1168,2,15,,NSW,361,2,15,712,1016,0%
10124,Barrack Point,629,1013,,4799,6,59,,NSW,1478,6,58,1013,1013,0%
10125,Barrengarry,251,1028,,5443,7,66,,NSW,1651,7,65,1028,1028,0%
10126,Barrington (NSW),518,993,,3942,5,48,,NSW,1217,5,48,993,993,0%
10127,Barry (Blayney - NSW),268,982,,3481,5,43,,NSW,1074,5,42,982,982,0%
10128,Basin View,1404,934,,1874,3,23,,NSW,597,3,24,919,973,0%
10129,Bass Hill,8180,937,,1962,3,24,,NSW,620,3,25,838,1099,0%
10130,Bateau Bay,11745,968,,2924,4,36,,NSW,920,4,36,621,1134,3%
10131,Batehaven,1748,888,,865,2,11,,NSW,252,1,10,810,946,0%
10132,Batemans Bay,1431,828,,357,1,5,,NSW,80,1,4,784,850,0%
10133,Bathurst,6633,956,,2518,4,31,,NSW,790,4,31,897,1021,0%
10134,Batlow,1416,885,,810,1,10,,NSW,233,1,10,796,980,0%
10135,Baulkham Hills,33926,1108,,7739,10,94,,NSW,2331,10,91,1022,1165,0%
10136,Baw Baw (NSW),423,1000,,4231,6,52,,NSW,1295,6,51,1000,1000,0%
10137,Bawley Point,594,975,,3197,4,39,,NSW,998,4,39,974,978,0%
10138,Bayview (NSW),3089,1115,,7848,10,96,,NSW,2377,10,93,1021,1174,0%
10139,Beacon Hill,6909,1113,,7825,10,95,,NSW,2365,10,93,1080,1150,0%
10140,Beaconsfield (NSW),910,1114,,7833,10,95,,NSW,2368,10,93,1108,1124,0%
10141,Beaumont (NSW),197,1050,,6282,8,77,,NSW,1881,8,74,1050,1050,0%
10142,Beaumont Hills,7870,1170,,8227,10,100,,NSW,2552,10,100,1124,1199,0%
10143,Beckom,216,1064,,6715,9,82,,NSW,2011,8,79,1064,1064,0%
10144,Bedgerebong,221,1018,,4997,7,61,,NSW,1534,6,60,1018,1018,0%
10145,Beechwood,570,955,,2495,4,31,,NSW,787,4,31,955,955,0%
10146,Beecroft,8834,1155,,8183,10,100,,NSW,2525,10,99,1100,1186,0%
10148,Beelbangera,310,950,,2349,3,29,,NSW,740,3,29,950,950,0%
10149,Bega,4754,902,,1113,2,14,,NSW,344,2,14,790,1059,0%
10150,Belbora,178,917,,1435,2,18,,NSW,445,2,18,917,917,0%
10151,Belfield,6035,981,,3423,5,42,,NSW,1055,5,42,915,1014,0%
10152,Belgravia,163,1109,,7764,10,95,,NSW,2338,10,92,1109,1109,0%
10153,Belimbla Park,546,1064,,6713,9,82,,NSW,2010,8,79,1064,1064,0%
10154,Bella Vista,7317,1163,,8210,10,100,,NSW,2540,10,100,1111,1204,0%
10155,Bellambi,4018,825,,353,1,5,,NSW,79,1,4,606,978,0%
10156,Bellangry,209,983,,3530,5,43,,NSW,1084,5,43,983,983,0%
10157,Bellata,408,1009,,4622,6,57,,NSW,1419,6,56,1009,1009,0%
10158,Bellawongarah,189,1085,,7319,9,89,,NSW,2204,9,86,1085,1085,0%
10159,Bellbird,2070,933,,1845,3,23,,NSW,590,3,24,871,1027,0%
10160,Bellbird Heights,829,953,,2445,3,30,,NSW,774,4,31,905,997,0%
10161,Bellbrook,354,838,,399,1,5,,NSW,93,1,4,838,838,0%
10162,Bellevue Hill,10768,1145,,8133,10,99,,NSW,2497,10,98,1074,1201,0%
